CCLE_ID	depMapID	Name	Pathology	Site_Primary	Site_Subtype1	Site_Subtype2	Site_Subtype3	Histology	Hist_Subtype1	Hist_Subtype2	Hist_Subtype3	Gender	Life_Stage	Age	Race	Geo_Loc	inferred_ethnicity	Site_Of_Finding	Disease	Annotation_Source	Original.Source.of.Cell.Line	Characteristics	Growth.Medium	Supplements	Freezing.Medium	Doubling.Time.from.Vendor	Doubling.Time.Calculated.hrs	type	type_refined	PATHOLOGIST_ANNOTATION	mutRate	tcga_code
OUMS23_LARGE_INTESTINE	ACH-000296	OUMS-23	primary	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS			NA			Asian			CCLE	HSSRB	epithelial-like	Dulbecco's modified Eagle's medium with 10% fetal bovine serum	NA		NA	NA	colorectal	colorectal	Colorectal:Carcinoma	137.2592429	COAD/READ
SNGM_ENDOMETRIUM	ACH-000974	SNG-M	metastasis	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		52	asian	japan	Asian	lymph_node	intermediately differentiated adenocarcinoma	CCLE	HSSRB	epithelial-like	Ham's F12 medium with 20% fetal bovine serum	NA		NA	NA	endometrium	endometrium	Endometrium:Carcinoma	788.4232098	UCEC
OUMS27_BONE	ACH-001150	OUMS-27	primary	bone	NS	NS	NS	chondrosarcoma	NS	NS	NS	male		NA			Asian			CCLE	HSSRB	Elongated polygonal	DMEM+10%FBS	NA	10%DMSO		NA	chondrosarcoma	chondrosarcoma	Bone:Sarcoma_Chondro	NA	SARC
PL45_PANCREAS	ACH-001171	PL45	primary	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male		NA	caucasian		Caucasian			CCLE	NA	NA	NA	NA	NA	NA	NA	pancreas	pancreas	NA	NA	PAAD
NCIH2347_LUNG	ACH-000875	NCI-H2347	primary	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		54	caucasian		Caucasian		lung_cancer	CCLE	ATCC	"Mixed, majority adherent"	RPMI 1640 +10% FBS	NA	5%DMSO		181.8	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	250.704126	LUAD
SW1990_PANCREAS	ACH-000155	SW 1990	primary	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male		56	caucasian		Caucasian			CCLE	NIBRI						NA	pancreas	pancreas	Pancreas:Carcinoma	103.2181425	PAAD
HS940T_FIBROBLAST	ACH-000135	Hs 940.T	primary	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male		57	caucasian		Caucasian			CCLE	GNF						NA	melanoma	fibroblast_like	Skin:Melanoma	81.50141124	SKCM
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000069	Hs 611.T	primary	haematopoietic_and_lymphoid_tissue	spleen	NS	NS	lymphoid_neoplasm	Hodgkin_lymphoma	NS	NS	female		48			Caucasian			CCLE	NIBRI						NA	lymphoma_Hodgkin	lymphoma_Hodgkin	Lymphoma:Hodgkin	73.30584648	NA
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000285	Toledo	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	NS	NS	female	adult	NA	caucasian		Caucasian			CCLE	ATCC	"suspension, lymphoblast"	RPMI-1640 + 10% FBS	NA	5%DMSO		51.4	lymphoma_DLBCL	lymphoma_DLBCL	Lymphoma:NH_B_cell	88.11498549	DLBC
RERFGC1B_STOMACH	ACH-000144	RERF-GC-1B	metastasis	stomach	NS	NS	NS	carcinoma	NS	NS	NS	male		41	asian	japan	Asian	lymph_node		CCLE	NIBRI						NA	stomach	stomach	Gastric:Carcinoma	113.3381055	STAD
HT1080_SOFT_TISSUE	ACH-000054	HT-1080	metastasis	soft_tissue	fibrous_tissue_and_uncertain_origin	NS	NS	fibrosarcoma	NS	NS	NS	male		35	caucasian		Caucasian	acetabulum	fibrosarcoma_cancer	CCLE	ATCC	Epithelial Adherent	EMEM+10%FBS	NA	5%DMSO		42.7	soft_tissue	soft_tissue	Soft_Tissue:Sarcoma_Fibro	79.58792792	SARC
NCIH2087_LUNG	ACH-000841	NCI-H2087	metastasis	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		69	caucasian		Caucasian	lymph_node	lung_cancer	CCLE	ATCC		DMEM:F12 (1:1) + 10% FBS	"0.02 mg/ml insulin, 0.01 mg/ml transferrin, 25 nM sodium selenite, 50 nM Hydrocortisone, 1 ng/ml EGF(don't filter), 0.01 mM ethanolamine, 0.01 mM phosphorylethanolamine, 100 pM triiodothyronine, 0.5% bovine serum albumin, 0.5 mM sodium pyruvate,  2mM L-glutamine, 10nM HEPES"	5% DMSO		104.2	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	212.0987614	LUAD
COV318_OVARY	ACH-000256	COV318	primary	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female		NA			Caucasian			CCLE	ECACC	Polyglonal and fusiform adherent	DMEM + 10% FBS	2mM Glutamine	5%DMSO		93.1	ovary	ovary	Ovary:Carcinoma	99.50888996	OV
NCIH2085_LUNG	ACH-000451	NCI-H2085	primary	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		45			Caucasian			CCLE	ATCC		DMEM:F12 (1:1) + 10% FBS	"0.02 mg/ml insulin, 0.01 mg/ml transferrin, 25 nM sodium selenite, 50 nM Hydrocortisone, 1 ng/ml EGF(don't filter), 0.01 mM ethanolamine, 0.01 mM phosphorylethanolamine, 100 pM triiodothyronine, 0.5% bovine serum albumin, 0.5 mM sodium pyruvate,  2mM L-glutamine, 10nM HEPES"	5% DMSO		98.9	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	111.5684726	LUAD
NCIH510_LUNG	ACH-000871	NCI-H510	primary	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male		56	caucasian		Caucasian			CCLE	ATCC	mixed line	F-12K  ATCC  + 10% FBS	NA	5% DMSO		979	lung_small_cell	lung_small_cell	Lung:SCLC	259.731865	SCLC
CAKI1_KIDNEY	ACH-000433	Caki-1	metastasis	kidney	NS	NS	NS	carcinoma	clear_cell_renal_cell_carcinoma	NS	NS	male		49	caucasian		Caucasian	skin	clear_cell_carcinoma	CCLE	ATCC	Adherent epithelial.	McCoy's 5A +10%FBS	NA	5%DMSO		88.3	kidney	kidney	Kidney:Carcinoma	116.8955149	KIRC
NCIH716_LARGE_INTESTINE	ACH-000491	NCI-H716	metastasis	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		33	caucasian		Caucasian	ascites		CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	118.5641877	COAD/READ
NCIH2066_LUNG	ACH-000727	NCI-H2066	primary	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female		70	caucasian		Caucasian			CCLE	ATCC		DMEM:HAM's F12  1:1 (ATCC catalog # 30-2006) + 5%  FBS	".005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine"	5%DMSO		80.3	lung_small_cell	lung_small_cell	Lung:SCLC	161.4303635	SCLC
NCIH1341_LUNG	ACH-000129	NCI-H1341	metastasis	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female		NA			Caucasian	cervix		CCLE	ATCC	Suspension	RPMI-1640   + 5% FBS	NA	10%DMSO		131.8	lung_small_cell	lung_small_cell	Lung:SCLC	84.02451807	SCLC
NCIH2029_LUNG	ACH-000298	NCI-H2029	metastasis	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female		69	caucasian		Caucasian	lymph_node		CCLE	ATCC		DMEM:HAM's F12  1:1  + 5%  FBS	".005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine"	5%DMSO		171.6	lung_small_cell	lung_small_cell	Lung:SCLC	89.90036362	SCLC
C3A_LIVER	ACH-001021	C3A	primary	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male		15	caucasian		Caucasian			CCLE	NA	NA	NA	NA	NA	NA	NA	liver	liver	NA	NA	LIHC
SW480_LARGE_INTESTINE	ACH-000842	SW480	primary	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		50	caucasian		Caucasian		colon_cancer	CCLE	ATCC	Epithelial adherent	L15+10%FBS	NA	5%DMSO		56.4	colorectal	colorectal	Colorectal:Carcinoma	240.1277804	COAD/READ
HS746T_STOMACH	ACH-000616	Hs 746T	metastasis	stomach	NS	NS	NS	carcinoma	NS	NS	NS	male		74	caucasian		Caucasian	muscle		CCLE	NIBRI						NA	stomach	stomach	Gastric:Carcinoma	130.8366927	STAD
LU65_LUNG	ACH-000438	LU65	primary	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS	male		64	asian		Asian		lung_cancer	CCLE	JCRB	Lymphocyte like with partially attached cells	RPMI 1640+10%FBS	NA	5% DMSO		NA	lung_NSC	lung_NSC	Lung:NSCLC_Large_Cell	139.7910668	NA
HS739T_FIBROBLAST	ACH-000413	Hs 739.T	primary	breast	NS	NS	NS	carcinoma	NS	NS	NS	female		52	asian		Asian			CCLE							NA	breast	fibroblast_like	NA	147.0067171	NA
SNUC2A_LARGE_INTESTINE	ACH-000967	SNU-C2A	primary	large_intestine	caecum	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		43	asian		Asian			CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	667.1912736	COAD/READ
HEC151_ENDOMETRIUM	ACH-000972	HEC-151	primary	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		NA	asian		Asian			CCLE	HSSRB	epithelial-like	Eagle's minimal essential medium with 15%  fetal calf serum	NA		NA	NA	endometrium	endometrium	Endometrium:Carcinoma	741.7712612	UCEC
MSTO211H_PLEURA	ACH-000335	MSTO-211H	metastasis	pleura	NS	NS	NS	mesothelioma	NS	NS	NS	male		62	caucasian		Caucasian	pleura	lung_cancer	CCLE	ATCC	adherenet	RPMI+10%FBS	NA	5% DMSO		35.6	mesothelioma	mesothelioma	Lung:Mesothelioma	124.150508	MESO
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000654	Raji	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	male		12	african		African_american		lymphoma	CCLE	NIBRI						NA	lymphoma_Burkitt	lymphoma_Burkitt	Lymphoma:NH_B_cell	170.4549408	DLBC
SKMEL1_SKIN	ACH-000465	SK-MEL-1	metastasis	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male		29	caucasian		Caucasian	lymph_node		CCLE	NIBRI						NA	melanoma	melanoma	Skin:Melanoma	112.654321	SKCM
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000953	SUP-T1	metastasis	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	NS	NS	male		8	caucasian		Caucasian	pleura		CCLE	NIBRI						NA	T-cell_ALL	T-cell_ALL	Leukemia:ALL	509.7698434	ALL
JHH7_LIVER	ACH-000848	JHH-7	primary	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male		53	asian	japan	Asian			CCLE	NIBRI						NA	liver	liver	Liver:HCC	257.2902848	LIHC
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000612	HuT 102	primary	haematopoietic_and_lymphoid_tissue	skin	NS	NS	lymphoid_neoplasm	mycosis_fungoides-Sezary_syndrome	NS	NS	male		26	african_american		African_american		mycosis_fungoides	CCLE	ATCC	suspension	RPMI+10%FBS		5%DMSO		NA	lymphoma_other	T-cell_lymphoma_other	NA	135.5808971	NA
5637_URINARY_TRACT	ACH-000905	5637	primary	urinary_tract	bladder	NS	NS	carcinoma	NS	NS	NS	male		68	caucasian		Asian			CCLE		adherent	RPMI1640+10%FBS	NA	5%DMSO		60.9	urinary_tract	urinary_tract	Bladder:Carcinoma	278.0195779	BLCA
HCC38_BREAST	ACH-000276	HCC38	primary	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female		50	caucasian		Caucasian		breast_cancer	CCLE	ATCC	"adherent, single cells and loosely attached clusters"	RPMI-1640 + 10% FBS	NA	5%DMSO		103.3	breast	breast	Breast:Carcinoma	96.75975762	BRCA
DU4475_BREAST	ACH-000258	DU4475	metastasis	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female		62	caucasian		Caucasian	breast	breast_cancer	CCLE	ATCC	"suspension, multicell aggregates"	RPMI-1640 + 10% FBS	NA	5%DMSO		145.6	breast	breast	Breast:Carcinoma	107.2866384	BRCA
NCIH1573_LUNG	ACH-000916	NCI-H1573	metastasis	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		35	caucasian		Caucasian	soft_tissue		CCLE	ATCC	Adherent	DMEM/F12(1:1) +10 % FBS	".02 mg/ml insulin, .01 mg/ml transferrin, 25nM sodium selenite, 1ng/mL EGF,  50 nM hydrocortisone, 2 mM L-glutamine, 0.5 sodium pyruvate"	5% DMSO		118.2	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	337.2852014	LUAD
NCIH508_LARGE_INTESTINE	ACH-000360	NCI-H508	metastasis	large_intestine	caecum	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		55	caucasian		Caucasian	abdominal_wall		CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	94.03118402	COAD/READ
NCIH1651_LUNG	ACH-000893	NCI-H1651	primary	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		71			Caucasian			CCLE	ATCC	adherent	DMEM:F12 (1:1) + 10% FBS	"0.02 mg/ml insulin, 0.01 mg/ml transferrin, 25 nM sodium selenite, 50 nM Hydrocortisone, 1 ng/ml EGF(don't filter), 0.01 mM ethanolamine, 0.01 mM phosphorylethanolamine, 100 pM triiodothyronine, 0.5% bovine serum albumin, 0.5 mM sodium pyruvate,  2mM L-glutamine, 10nM HEPES"	5% DMSO		138.7	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	272.2196239	LUAD
SKUT1_SOFT_TISSUE	ACH-000939	SK-UT-1	primary	soft_tissue	smooth_muscle	uterus	NS	leiomyosarcoma	NS	NS	NS	female		75	caucasian		Caucasian			CCLE	ATCC	adherent epithelial	EMEM + 10% FBS	NA	5%DMSO		41.6	soft_tissue	soft_tissue	Soft_Tissue:Sarcoma_Leiomyo	448.08848	SARC
MDAMB175VII_BREAST	ACH-000759	MDA-MB-175-VII	metastasis	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female		56	african_american		African_american	pleura	invasive_ductal_carcinoma	CCLE	ATCC	Adherent	RPMI+10%FBS	NA	5%DMSO		133.7	breast	breast	Breast:Carcinoma	157.8873017	BRCA
SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000059	SUP-B15	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia	NS	NS	male		9	caucasian		Caucasian			CCLE	NIBRI						NA	B-cell_ALL	B-cell_ALL	Leukemia:ALL	76.86299598	ALL
BECKER_CENTRAL_NERVOUS_SYSTEM	ACH-001016	Becker	primary	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male		57			Caucasian			CCLE	HSRRB	Adherent			5% DMSO		67.8	glioma	glioma	CNS:Glioma_HighGrade	NA	GBM
NCIH226_LUNG	ACH-000367	NCI-H226	metastasis	lung	NS	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male		NA			Caucasian	pleura	lung_cancer	CCLE	ATCC		RPMI-1640+10% FBS	NA	5%DMSO		49.8	lung_NSC	lung_NSC	Lung:NSCLC_Squamous	93.36313254	LUSC
NCIH1666_LUNG	ACH-000448	NCI-H1666	metastasis	lung	NS	NS	NS	carcinoma	bronchioloalveolar_adenocarcinoma	NS	NS	female		50	caucasian		Caucasian	pleura	lung_cancer	CCLE	ATCC	adherent	DMEM:F:12 (1:1) +10 %FBS	".005 mg/ml insulin, .01 mg/ml transferrin, 25nM sodium selenite, 50nM hydrocortisone, 1 ng/mL epidermal growth factor, 0.01mM ethanolamine, 0.01mM phosphorylethanolamine, 100pM triiodothyronine, 0.5%(w/v) bovine serum albumin, 0.5 mM sodium pyruvate, 2mM L-glutamine"	5% DMSO		258.6	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	110.7362811	LUAD
SW1783_CENTRAL_NERVOUS_SYSTEM	ACH-000883	SW 1783	primary	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_III	anaplastic	NS	male		68	caucasian		Caucasian			CCLE	NIBRI						NA	glioma	glioma	CNS:Glioma_HighGrade	273.8360546	LGG
